func,omega,algorithm,s8-start,s8-final,a1-start,a1-final,a2-start,a2-final,MD,MAD,RMSD,time,errors?
wb97m,300,LN_BOBYQA,1.75,0.77938622981158512,0.4,0.73604528303070027,5.25,2.7915279879018193,0.019394,0.124972,0.185120,14,False
wb97m,300,LN_BOBYQA,1.75,0.77912644802119446,0.4,0.73605010042617136,6.875,2.7912552208860437,0.019380,0.124977,0.185120,15,False
wb97m,300,LN_BOBYQA,1.75,0.77932913194642262,0.4,0.73601695516925580,8.5,2.7916089129272130,0.019394,0.124973,0.185120,13,False
wb97m,300,LN_BOBYQA,1.75,0.77924748016171397,0.6,0.73592260764292261,2.0,2.7920087728384524,0.019368,0.124970,0.185120,10,False
wb97m,300,LN_BOBYQA,1.75,0.77930606612890219,0.6,0.73598570231800742,3.625,2.7917531872841299,0.019383,0.124973,0.185120,9,False
wb97m,300,LN_BOBYQA,1.75,0.77929390169039159,0.6,0.73606662551270030,5.25,2.7913408518795997,0.019400,0.124973,0.185120,11,False
wb97m,300,LN_BOBYQA,1.75,0.77839377944004307,0.6,0.73786666680733615,6.875,2.7818915628027172,0.019429,0.124990,0.185121,12,False
wb97m,300,LN_BOBYQA,1.75,0.77932724780344254,0.6,0.73605138771603829,8.5,2.7914287438763870,0.019391,0.124975,0.185120,13,False
wb97m,300,LN_BOBYQA,1.75,0.77932288654001480,0.8,0.73600787935324052,2.0,2.7916469678004687,0.019390,0.124973,0.185120,9,False
wb97m,300,LN_BOBYQA,1.75,0.77936097476477617,0.8,0.73605341684691961,3.625,2.7914741851566500,0.019402,0.124969,0.185120,9,False
wb97m,300,LN_BOBYQA,1.75,0.77938711201638500,0.8,0.73601101866694874,5.25,2.7917070263764385,0.019406,0.124972,0.185120,11,False
wb97m,300,LN_BOBYQA,1.75,0.77933871974617785,0.8,0.73603955872729554,6.875,2.7915149837156648,0.019390,0.124972,0.185120,8,False
wb97m,300,LN_BOBYQA,1.75,0.77929972170984718,0.8,0.73610037319215782,8.5,2.7911927575180546,0.019393,0.124972,0.185120,14,False
wb97m,300,LN_BOBYQA,3.5,3.2684358433688447,0.0,1.1735594170959780,2.0,1.9793415807053141,0.086615,0.234189,0.344082,1,False
wb97m,300,LN_BOBYQA,3.5,3.4997380911074241,0.0,-4.4386487448307220E-004,3.625,7.6530747759492694,0.110424,0.291951,0.451320,2,False
wb97m,300,LN_BOBYQA,3.5,4.4087882918592544E-002,0.0,-4.2787194750042135E-004,5.25,5.2481833376927334,-0.140919,0.261447,0.383446,1,False
wb97m,300,LN_BOBYQA,3.5,0.77932742733269245,0.0,0.73602799932571727,6.875,2.7915485470171144,0.019388,0.124975,0.185120,9,False
wb97m,300,LN_BOBYQA,3.5,0.77931459729194408,0.0,0.73602532615322802,8.5,2.7915525229711498,0.019392,0.124974,0.185120,13,False
wb97m,300,LN_BOBYQA,3.5,0.77930909537434589,0.2,0.73607838608996579,2.0,2.7913014143684030,0.019395,0.124974,0.185120,14,False
wb97m,300,LN_BOBYQA,3.5,0.77944657621549229,0.2,0.73623748723312321,3.625,2.7906584685287128,0.019397,0.124973,0.185120,11,False
wb97m,300,LN_BOBYQA,3.5,0.78108332348909604,0.2,0.73735922757376948,5.25,2.7867835753906740,0.019542,0.124945,0.185121,9,False
wb97m,300,LN_BOBYQA,3.5,0.77954248355711209,0.2,0.73643878954141961,6.875,2.7897791702430594,0.019426,0.124971,0.185120,11,False
wb97m,300,LN_BOBYQA,3.5,0.77934303116956383,0.2,0.73580583438030711,8.5,2.7926256825158995,0.019403,0.124978,0.185120,19,False
wb97m,300,LN_BOBYQA,3.5,0.77931913988172552,0.4,0.73629578363580606,2.0,2.7902564141950630,0.019409,0.124975,0.185120,5,False
wb97m,300,LN_BOBYQA,3.5,0.77934853298244777,0.4,0.73602449725354768,3.625,2.7915893269165073,0.019393,0.124973,0.185120,9,False
wb97m,300,LN_BOBYQA,3.5,0.77817518616031811,0.4,0.73530367707067579,5.25,2.7938946051837235,0.019128,0.124952,0.185121,14,False
wb97m,300,LN_BOBYQA,3.5,0.77931789703837917,0.4,0.73603301402139576,6.875,2.7915208042269901,0.019392,0.124973,0.185120,13,False
wb97m,300,LN_BOBYQA,3.5,0.77936411301657826,0.4,0.73586818627200679,8.5,2.7923958712797936,0.019336,0.124967,0.185120,12,False
wb97m,300,LN_BOBYQA,3.5,0.77830619755222841,0.6,0.73405557347386141,2.0,2.8000964113800806,0.019227,0.124980,0.185121,9,False
wb97m,300,LN_BOBYQA,3.5,0.77935917453151982,0.6,0.73607909526739379,3.625,2.7913343319367128,0.019398,0.124973,0.185120,7,False
wb97m,300,LN_BOBYQA,3.5,0.77933498835283699,0.6,0.73601030098716047,5.25,2.7916402782205072,0.019393,0.124974,0.185120,14,False
wb97m,300,LN_BOBYQA,3.5,0.81230010059800650,0.6,0.77782986223145578,6.875,2.6210803887961278,0.023214,0.124850,0.185424,8,False
wb97m,300,LN_BOBYQA,3.5,0.77944932210776563,0.6,0.73605203716689183,8.5,2.7915256530557366,0.019421,0.124976,0.185120,16,False
wb97m,300,LN_BOBYQA,3.5,0.81542990881761523,0.8,0.84111442540783143,2.0,2.3201281520444446,0.027134,0.126600,0.186937,8,False
wb97m,300,LN_BOBYQA,3.5,0.77982042650909644,0.8,0.73644348389183223,3.625,2.7900005701231092,0.019447,0.124968,0.185120,9,False
wb97m,300,LN_BOBYQA,3.5,0.77937299390215165,0.8,0.73590084738818307,5.25,2.7922153829867598,0.019386,0.124962,0.185120,11,False
wb97m,300,LN_BOBYQA,3.5,0.77933161176505439,0.8,0.73602448933215503,6.875,2.7915778016290038,0.019390,0.124972,0.185120,12,False
wb97m,300,LN_BOBYQA,3.5,0.77939949203972525,0.8,0.73640897518403392,8.5,2.7897806073581015,0.019436,0.124978,0.185120,13,False
wb97m,300,LN_BOBYQA,5.25,4.5591182634354803,0.0,1.2493415964735501,2.0,1.9806497423674889,0.102048,0.280149,0.409816,1,False
wb97m,300,LN_BOBYQA,5.25,5.3079619688748041,0.0,0.98901453948947493,3.625,3.5850854794614375,-0.078894,0.329885,0.522500,1,False
wb97m,300,LN_BOBYQA,5.25,6.6131824377889323E-002,0.0,-4.2787194750045345E-004,5.25,5.2481833376927316,-0.120457,0.254340,0.369875,1,False
wb97m,300,LN_BOBYQA,5.25,0.77948805439285895,0.0,0.73607052192306133,6.875,2.7915007814186192,0.019405,0.124970,0.185120,8,False
wb97m,300,LN_BOBYQA,5.25,0.77927337608672409,0.0,0.73597984471532096,8.5,2.7917136528249618,0.019382,0.124978,0.185120,13,False
wb97m,300,LN_BOBYQA,5.25,0.77931456622285000,0.2,0.73601629148190484,2.0,2.7915990875941987,0.019390,0.124973,0.185120,12,False
wb97m,300,LN_BOBYQA,5.25,0.77916779707295702,0.2,0.73560710904823035,3.625,2.7934067599609982,0.019372,0.124978,0.185120,12,False
wb97m,300,LN_BOBYQA,5.25,0.78206550343948844,0.2,0.74204530020151160,5.25,2.7651917791135263,0.019868,0.124949,0.185126,7,False
wb97m,300,LN_BOBYQA,5.25,0.77930609781769411,0.2,0.73600678631674965,6.875,2.7916430842029971,0.019387,0.124973,0.185120,14,False
wb97m,300,LN_BOBYQA,5.25,0.77931306955870616,0.2,0.73601811919077575,8.5,2.7915878978693023,0.019408,0.124976,0.185120,11,False
wb97m,300,LN_BOBYQA,5.25,0.77933187643700197,0.4,0.73602703582690965,2.0,2.7915608016128401,0.019394,0.124973,0.185120,8,False
wb97m,300,LN_BOBYQA,5.25,0.77926276959456275,0.4,0.73609841788445318,3.625,2.7911568474057149,0.019391,0.124969,0.185120,12,False
wb97m,300,LN_BOBYQA,5.25,0.77934585659666233,0.4,0.73605623862518876,5.25,2.7914465752321966,0.019387,0.124971,0.185120,7,False
wb97m,300,LN_BOBYQA,5.25,0.77939522717360255,0.4,0.73603153567006585,6.875,2.7915959692251575,0.019390,0.124970,0.185120,12,False
wb97m,300,LN_BOBYQA,5.25,0.77933338405855113,0.4,0.73604491582080667,8.5,2.7914748290782367,0.019394,0.124974,0.185120,13,False
wb97m,300,LN_BOBYQA,5.25,0.77929468489015252,0.6,0.73594734266597517,2.0,2.7919120661810979,0.019389,0.124973,0.185120,12,False
wb97m,300,LN_BOBYQA,5.25,0.77937598261045649,0.6,0.73594041021579404,3.625,2.7920291934115822,0.019383,0.124970,0.185120,7,False
wb97m,300,LN_BOBYQA,5.25,0.77873191098224837,0.6,0.73450720598112373,5.25,2.7983111749593452,0.019272,0.124977,0.185121,8,False
wb97m,300,LN_BOBYQA,5.25,0.77938496499169962,0.6,0.73606742819090343,6.875,2.7914488614000876,0.019377,0.124967,0.185120,15,False
wb97m,300,LN_BOBYQA,5.25,0.77897601479540302,0.6,0.73610333710332798,8.5,2.7908786110016828,0.019375,0.124980,0.185120,11,False
wb97m,300,LN_BOBYQA,5.25,0.77737864247720212,0.8,0.73268464962327251,2.0,2.8057477997117832,0.019140,0.125010,0.185122,8,False
wb97m,300,LN_BOBYQA,5.25,0.77908391766377916,0.8,0.73641607808495091,3.625,2.7895069733283564,0.019372,0.124972,0.185120,9,False
wb97m,300,LN_BOBYQA,5.25,0.77931925925206358,0.8,0.73602356703197802,5.25,2.7915699193003571,0.019390,0.124973,0.185120,11,False
wb97m,300,LN_BOBYQA,5.25,0.77937378403326196,0.8,0.73607343742685094,6.875,2.7913833699798722,0.019392,0.124972,0.185120,12,False
wb97m,300,LN_BOBYQA,5.25,0.77937178978018296,0.8,0.73609299231369996,8.5,2.7912740343685303,0.019403,0.124974,0.185120,14,False
wb97m,300,LN_BOBYQA,7.0,-0.41492436305004687,0.0,7.1194640321452368E-002,2.0,1.9997259124869509,-0.130822,1.408020,2.147400,1,False
wb97m,300,LN_BOBYQA,7.0,6.9970918594969032,0.0,1.0023936048278608,3.625,3.6266254118924612,0.141808,0.348932,0.503480,1,False
wb97m,300,LN_BOBYQA,7.0,8.7903653251025893E-002,0.0,-3.6298073522700010E-004,5.25,5.2484405823821856,-0.100357,0.250524,0.358818,1,False
wb97m,300,LN_BOBYQA,7.0,0.77931639960336407,0.0,0.73597608889197419,6.875,2.7917998056216851,0.019385,0.124964,0.185120,12,False
wb97m,300,LN_BOBYQA,7.0,0.77938809957000699,0.0,0.73588281805735622,8.5,2.7923457337454467,0.019362,0.124964,0.185120,12,False
wb97m,300,LN_BOBYQA,7.0,0.77910411434812221,0.2,0.73560815701931936,2.0,2.7933569797863651,0.019353,0.124978,0.185120,17,False
wb97m,300,LN_BOBYQA,7.0,0.77939110075536144,0.2,0.73609671458135917,3.625,2.7912694314606949,0.019403,0.124978,0.185120,11,False
wb97m,300,LN_BOBYQA,7.0,0.74555336632028391,0.2,0.66411603773680616,5.25,3.1051484458355203,0.013616,0.125817,0.185910,13,False
wb97m,300,LN_BOBYQA,7.0,0.77766927944501762,0.2,0.73266066558851939,6.875,2.8061586361818844,0.019135,0.124995,0.185122,12,False
wb97m,300,LN_BOBYQA,7.0,0.75752031437736456,0.2,0.69129648255940357,8.5,2.9861619534456625,0.015693,0.125371,0.185429,13,False
wb97m,300,LN_BOBYQA,7.0,0.77926700073312771,0.4,0.73592361854106536,2.0,2.7920196517527973,0.019382,0.124967,0.185120,9,False
wb97m,300,LN_BOBYQA,7.0,0.77932907866701884,0.4,0.73602759404354900,3.625,2.7915497913290443,0.019390,0.124973,0.185120,11,False
wb97m,300,LN_BOBYQA,7.0,0.77934940723121471,0.4,0.73600216760815085,5.25,2.7917006361311922,0.019391,0.124972,0.185120,13,False
wb97m,300,LN_BOBYQA,7.0,0.77918076099337186,0.4,0.73527869252427858,6.875,2.7950387392042861,0.019327,0.124969,0.185120,12,False
wb97m,300,LN_BOBYQA,7.0,0.78138883008266613,0.4,0.73945627767920441,8.5,2.7769434803119593,0.019729,0.124958,0.185122,10,False
wb97m,300,LN_BOBYQA,7.0,0.78094589637817646,0.6,0.73567293796695066,2.0,2.7944938553209622,0.019637,0.124995,0.185121,8,False
wb97m,300,LN_BOBYQA,7.0,0.77940582961352489,0.6,0.73605015098166382,3.625,2.7915175042789544,0.019391,0.124975,0.185120,8,False
wb97m,300,LN_BOBYQA,7.0,0.77928227120048510,0.6,0.73671533635542696,5.25,2.7882447505986923,0.019409,0.124979,0.185120,11,False
wb97m,300,LN_BOBYQA,7.0,0.77932671283700061,0.6,0.73569493518778617,6.875,2.7931421171635860,0.019379,0.124974,0.185120,13,False
wb97m,300,LN_BOBYQA,7.0,0.78136843889792895,0.6,0.73879301184419388,8.5,2.7802032858785020,0.019611,0.124932,0.185122,10,False
wb97m,300,LN_BOBYQA,7.0,0.77938248307069202,0.8,0.73617823057676413,2.0,2.7908683515691339,0.019386,0.124967,0.185120,5,False
wb97m,300,LN_BOBYQA,7.0,0.78216215771600028,0.8,0.73873239710106475,3.625,2.7812405500196502,0.019579,0.124907,0.185122,9,False
wb97m,300,LN_BOBYQA,7.0,0.77891284961833718,0.8,0.73583982910930823,5.25,2.7920658759397603,0.019367,0.124981,0.185120,10,False
wb97m,300,LN_BOBYQA,7.0,0.77944736964307670,0.8,0.73608774714072589,6.875,2.7913540558954018,0.019415,0.124975,0.185120,12,False
wb97m,300,LN_BOBYQA,7.0,0.77946699524072416,0.8,0.73635065034297364,8.5,2.7901442918014774,0.019410,0.124970,0.185120,11,False
